product_name,quantity,order_numbers,check,notes
Jakob Linen Slip Dress French Blue Stripe - XL,1,#9748,False,
L'origami Linen Slip Dress Navy - XL,1,#9888,False,
L'origami Linen Slip Dress Navy - XS,1,#9597,False,
L'origami Linen Slip Dress Oatmeal Beige - XL,1,#9937,False,
L'origami Linen Slip Dress White - XL,1,#9779,False,
L'origami Linen Slip Dress White - XS,1,#9597,False,
L'origami Linen Top Navy - L,2,"#9885, #9983",False,
L'origami Linen Top Navy - S,2,"#9836, #9935",False,
L'origami Linen Top White - S,2,"#9619, #9913",False,
Léa Ramie Linen Slip Dress Black - L,1,#9901,False,
Léa Ramie Linen Slip Dress Black - XS,1,#9882,False,
Léa Ramie Linen Slip Dress White - M,1,#9904,False,
Matheo Linen Pant Black - XL,1,#9927,False,
Matheo Linen Pant Black - XXS,1,#9718,False,
Matheo Linen Pant White - M,1,#9836,False,
Matheo Linen Pant White - S,1,#9619,False,
Meraki Linen Wrap Dress Khaki - L,1,#9921,False,
Meraki Linen Wrap Dress Khaki - S,1,#9971,False,
Milos Linen Dress - M,2,"#9938, #9953",False,
Milos Linen Dress - S,1,#9957,False,
Milos Linen Dress - XL,1,#9919,False,
Milos Linen Dress - XS,1,#9936,False,
Nuvola Linen Top White - XS,1,#9891,False,
Olen Linen Maxi Skirt Brown Espresso - L,2,"#9570, #9798",False,
Olen Linen Maxi Skirt Brown Espresso - M,2,"#9570, #9778",False,
Olen Linen Maxi Skirt Brown Espresso - S,2,"#9771, #9862",False,
Olen Linen Maxi Skirt Brown Espresso - XS,1,#9593,False,
Olen Linen Maxi Skirt Brown Espresso - XXS,1,#9721,False,
Piega Linen Trouser Black - L,1,#9558,False,
Piega Linen Trouser Black - M,1,#9946,False,
Piega Linen Trouser Black - S,1,#9597,False,
Piega Linen Trouser Black - XL,2,"#9399, #9888",False,
Piega Linen Trouser Khaki - S,1,#9704,False,
Piega Linen Trouser Khaki - XS,1,#9704,False,
Relaxed Pallocino Linen Top Oatmeal - M/L,1,#9958,False,
Relaxed Pallocino Linen Top Oatmeal - XS/S,1,#9949,False,
Relaxed Pallocino Linen Top White - S/M,2,"#9558, #9837",False,
Safari Linen Wrap Dress Black - M,1,#9932,False,
Safari Linen Wrap Dress Black - XL,1,#9888,False,
Safari Linen Wrap Dress Black - XXS,1,#9850,False,
Safari Linen Wrap Dress Khaki - M,2,"#9558, #9897",False,
Safari Linen Wrap Dress Khaki - XS,2,"#9831, #9947",False,
Safari Linen Wrap Dress Khaki - XXS,2,"#9770, #9850",False,
Safari Linen Wrap Dress Oatmeal Beige - M,2,"#9895, #9952",False,
Sander Linen Top Brown Espresso - S,1,#9862,False,
Sander Linen Top Brown Espresso - XL,1,#9773,False,
Sander Linen Top Brown Espresso - XS,1,#9593,False,
Sander Linen Top Brown Espresso - XXS,2,"#9721, #9869",False,
Sander Linen Top French Blue Stripe - L,1,#9815,False,
Thalia Linen Trouser Black - L,1,#9641,False,
Thalia Linen Trouser Oatmeal - XL,1,#9676,False,
Tie Knot Linen Cami Top Black - M,1,#9679,False,
Tie Knot Linen Cami Top Black - XS,2,"#9723, #9770",False,
Tie Knot Linen Cami Top White - M,1,#9725,False,
Tie Knot Linen Cami Top White - S,2,"#9828, #9848",False,
Tie Knot Linen Cami Top White - XS,1,#9723,False,
Tie-Knot Linen Capri Pants Black - XL,1,#9901,False,
Tie-Knot Linen Capri Pants Oatmeal - L,1,#9558,False,
Tie-Knot Linen Capri Pants Oatmeal - M,2,"#9940, #9949",False,
Tie-Knot Linen Capri Pants White - S,1,#9725,False,
Vacanza Linen Kaftan Black - One Size,1,#9872,False,
Vacanza Linen Kaftan White - One Size,2,"#9885, #9892",False,
Volonté Linen Midi Dress Sky Blue - L,2,"#9815, #9872",False,
Zakai Linen Wrap Pant Navy - L,2,"#9815, #9899",False,
Zakai Linen Wrap Pant Navy - M,1,#9913,False,
Zulu Linen Wrap Dress in Copper - M,1,#9918,False,
Zulu Linen Wrap Dress in Copper - S,1,#9969,False,
Zulu Linen Wrap Dress in Natural - S,5,"#9836, #9934, #9954, #9959, #9982",False,
Zulu Linen Wrap Dress in Natural - XL,4,"#9585, #9767, #9838, #9843",False,
Zulu Linen Wrap Dress in Natural - XS,2,"#9882, #9909",False,
Zulu Linen Wrap Dress in Natural - XXS,2,"#9850, #9877",False,
Zulu Linen Wrap Dress in Navy - L,5,"#9883, #9899, #9900, #9910, #9951",False,
Zulu Linen Wrap Dress in Navy - M,23,"#9558, #9764, #9765, #9776, #9777, #9780, #9790, #9795, #9800, #9813, #9824, #9833, #9902, #9906, #9908, #9931, #9941, #9944, #9961, #9970, #9977, #9979, #9980",False,
Zulu Linen Wrap Dress in Navy - S,29,"#9648, #9713, #9720, #9726, #9735, #9742, #9745, #9750, #9760, #9772, #9783, #9787, #9792, #9806, #9835, #9837, #9858, #9865, #9896, #9917, #9928, #9942, #9948, #9960, #9963, #9967, #9968, #9975, #9976",False,
Zulu Linen Wrap Dress in Navy - XL,5,"#9585, #9782, #9823, #9843, #9972",False,
Zulu Linen Wrap Dress in Navy - XS,15,"#9675, #9696, #9739, #9749, #9770, #9805, #9821, #9822, #9830, #9831, #9845, #9893, #9909, #9950, #9956",False,
Zulu Linen Wrap Dress in Navy - XXS,5,"#9682, #9850, #9887, #9918, #9923",False,
